Datetime,Area ID,Area Boss,Remain Count,Capture Type,Capture Status,Sangvis ID,Sangvis Rank,Sangvis Name
2022-08-26 10:31:02,15,Hunter,99,PULSE,O,3005,?,Striker
2022-08-26 10:31:11,15,Hunter,98,PULSE,O,3010,?,Goliath Factory
2022-08-26 10:31:20,15,Hunter,97,PULSE,O,3006,?,Dinergate
2022-08-26 10:31:31,15,Hunter,96,PULSE,O,3004,?,Jaeger
2022-08-26 10:31:46,15,Hunter,95,PULSE,O,3002,?,Vespid
2022-08-26 10:31:58,15,Hunter,94,PULSE,O,3002,?,Vespid
2022-08-26 10:32:15,15,Hunter,93,PULSE,O,3003,?,Guard
2022-08-29 10:32:48,15,Hunter,92,PULSE,O,3003,?,Guard
2022-08-29 10:32:56,15,Hunter,91,PULSE,O,3001,?,Ripper
2022-08-29 10:33:06,15,Hunter,90,PULSE,O,3010,?,Goliath Factory
2022-08-29 10:33:19,15,Hunter,89,PULSE,O,3009,?,Jaguar
2022-08-29 10:33:28,15,Hunter,88,PULSE,O,3007,?,Scout
2022-08-29 10:33:40,15,Hunter,87,PULSE,O,3002,?,Vespid
2022-09-01 14:34:15,15,Hunter,99,PULSE,O,3010,?,Goliath Factory
2022-09-01 14:34:23,15,Hunter,98,PULSE,O,3002,?,Vespid
2022-09-01 14:34:31,15,Hunter,97,PULSE,O,3010,?,Goliath Factory
2022-09-01 14:34:39,15,Hunter,96,PULSE,O,3007,?,Scout
2022-09-01 14:34:47,15,Hunter,95,PULSE,O,3001,?,Ripper
2022-09-02 10:42:27,15,Hunter,94,SVAROG,O,2010,??,Vespid_SWAP
2022-09-02 10:42:27,15,Hunter,93,SVAROG,O,3002,?,Vespid
2022-09-02 10:42:27,15,Hunter,92,SVAROG,O,3007,?,Scout
2022-09-02 10:42:27,15,Hunter,91,SVAROG,O,2012,??,Dragoon_SWAP
2022-09-02 10:42:27,15,Hunter,90,SVAROG,O,2011,??,Prowler_SWAP
2022-09-02 10:42:27,15,Hunter,89,SVAROG,O,3003,?,Guard
2022-09-02 10:42:27,15,Hunter,88,SVAROG,O,2011,??,Prowler_SWAP
2022-09-02 10:42:27,15,Hunter,87,SVAROG,O,2012,??,Dragoon_SWAP
2022-09-02 10:42:27,15,Hunter,86,SVAROG,O,2009,??,Ripper SWAP
2022-09-02 10:42:27,15,Hunter,85,SVAROG,O,3003,?,Guard
2022-09-02 12:15:17,15,Hunter,84,PULSE,O,3005,?,Striker
2022-09-02 12:15:26,15,Hunter,83,PULSE,O,3006,?,Dinergate
2022-09-02 12:15:34,15,Hunter,82,PULSE,O,3007,?,Scout
2022-09-02 12:15:44,15,Hunter,81,PULSE,O,3006,?,Dinergate
2022-09-02 12:15:59,15,Hunter,80,PULSE,O,3008,?,Prowler
2022-09-02 12:16:12,15,Hunter,79,PULSE,O,3006,?,Dinergate
2022-09-02 12:16:26,15,Hunter,78,PULSE,O,3004,?,Jaeger
2022-09-02 12:16:43,15,Hunter,77,PULSE,O,3009,?,Jaguar
2022-09-05 12:45:35,15,Hunter,76,PULSE,O,3003,?,Guard
2022-09-05 12:45:43,15,Hunter,75,PULSE,O,3010,?,Goliath Factory
2022-09-05 12:45:52,15,Hunter,74,PULSE,O,3007,?,Scout
2022-09-05 12:46:39,15,Hunter,73,PULSE,O,3006,?,Dinergate
2022-09-05 12:47:32,15,Hunter,72,PULSE,O,3005,?,Striker
2022-09-05 12:48:49,15,Hunter,71,PULSE,O,3004,?,Jaeger
2022-09-05 12:49:17,15,Hunter,70,PULSE,O,3004,?,Jaeger
2022-09-05 12:49:43,15,Hunter,69,PULSE,O,3010,?,Goliath Factory
2022-09-05 12:50:04,15,Hunter,68,PULSE,O,3009,?,Jaguar
2022-09-05 12:51:14,15,Hunter,67,PULSE,O,3009,?,Jaguar
2022-09-05 12:51:31,15,Hunter,66,PULSE,O,3001,?,Ripper
2022-09-05 12:52:40,15,Hunter,65,PULSE,O,3002,?,Vespid
2022-09-05 12:52:58,15,Hunter,64,PULSE,O,3008,?,Prowler
2022-09-05 12:53:42,15,Hunter,63,PULSE,O,3010,?,Goliath Factory
2022-09-05 12:54:30,15,Hunter,63,PULSE,X,1003,???,Hunter
2022-09-05 12:55:46,15,Hunter,62,PULSE,O,3010,?,Goliath Factory
2022-09-05 12:56:50,15,Hunter,61,PULSE,O,3001,?,Ripper
2022-09-05 12:57:54,15,Hunter,60,PULSE,O,3009,?,Jaguar
2022-09-05 12:58:13,15,Hunter,59,PULSE,O,3004,?,Jaeger
2022-09-05 13:04:46,15,Hunter,58,SVAROG,O,3007,?,Scout
2022-09-05 13:04:50,15,Hunter,57,SVAROG,O,3008,?,Prowler
2022-09-05 13:04:53,15,Hunter,56,SVAROG,O,2012,??,Dragoon_SWAP
2022-09-05 13:04:56,15,Hunter,55,SVAROG,O,1003,???,Hunter
