event_id,datetime,prize_id,prize
398,2022-07-31 11:35:22,919,Original Sample
398,2022-07-31 11:35:22,816,Enhancement Capsule*2
398,2022-07-31 11:35:22,811,Parts*200
398,2022-07-31 11:35:22,816,Enhancement Capsule*2
398,2022-07-31 11:35:22,838,Calibration Ticket*30
398,2022-07-31 11:35:22,811,Parts*200
398,2022-07-31 11:35:22,809,Rations*300
398,2022-07-31 11:35:22,804,Ammo*100
398,2022-07-31 11:35:22,804,Ammo*100
398,2022-07-31 11:35:22,825,Quick Repair*1
398,2022-07-31 11:35:26,810,Parts*100
398,2022-07-31 11:35:26,825,Quick Repair*1
398,2022-07-31 11:35:26,827,Basic Training Data*20
398,2022-07-31 11:35:26,801,Manpower*100
398,2022-07-31 11:35:26,816,Enhancement Capsule*2
398,2022-07-31 11:35:26,807,Rations*100
398,2022-07-31 11:35:26,816,Enhancement Capsule*2
398,2022-07-31 11:35:26,919,Original Sample
398,2022-07-31 11:35:26,810,Parts*100
398,2022-07-31 11:35:26,806,Ammo*300
398,2022-07-31 11:35:37,804,Ammo*100
398,2022-07-31 11:35:37,824,Quick Production*1
398,2022-07-31 11:35:37,828,Basic Training Data*30
398,2022-07-31 11:35:37,841,Battery*40
398,2022-07-31 11:35:37,808,Rations*200
398,2022-07-31 11:35:37,834,Advanced Training Data*30
398,2022-07-31 11:35:37,834,Advanced Training Data*30
398,2022-07-31 11:35:37,822,T-Doll Contract*1
398,2022-07-31 11:35:37,827,Basic Training Data*20
398,2022-07-31 11:35:37,825,Quick Repair*1
398,2022-07-31 11:35:48,810,Parts*100
398,2022-07-31 11:35:48,831,Intermediate Training Data*30
398,2022-07-31 11:35:48,919,Original Sample
398,2022-07-31 11:35:48,802,Manpower*200
398,2022-07-31 11:35:48,879,Memory Fragment*20
398,2022-07-31 11:35:48,804,Ammo*100
398,2022-07-31 11:35:48,920,Pure Sample
398,2022-07-31 11:35:48,839,Battery*20
398,2022-07-31 11:35:48,810,Parts*100
398,2022-07-31 11:35:48,920,Pure Sample
398,2022-07-31 11:36:20,807,Rations*100
398,2022-07-31 11:36:20,810,Parts*100
398,2022-07-31 11:36:20,805,Ammo*200
398,2022-07-31 11:36:20,807,Rations*100
398,2022-07-31 11:36:20,831,Intermediate Training Data*30
398,2022-07-31 11:36:20,808,Rations*200
398,2022-07-31 11:36:20,807,Rations*100
398,2022-07-31 11:36:20,804,Ammo*100
398,2022-07-31 11:36:20,804,Ammo*100
398,2022-07-31 11:36:20,802,Manpower*200
398,2022-07-31 11:36:26,816,Enhancement Capsule*2
398,2022-07-31 11:36:26,831,Intermediate Training Data*30
398,2022-07-31 11:36:26,818,Enhancement Capsule*4
398,2022-07-31 11:36:26,834,Advanced Training Data*30
398,2022-07-31 11:36:26,801,Manpower*100
398,2022-07-31 11:36:26,810,Parts*100
398,2022-07-31 11:36:26,816,Enhancement Capsule*2
398,2022-07-31 11:36:26,807,Rations*100
398,2022-07-31 11:36:26,830,Intermediate Training Data*20
398,2022-07-31 11:36:26,827,Basic Training Data*20
