Datetime,Category,Tier,SpentResource,Type,ID,Name,Rank,Talents
2022-07-31 10:56:01,GUN,NORMAL,400/400/100/30,AR,133,Type63,??,
2022-07-31 10:56:01,GUN,NORMAL,400/400/100/30,SMG,29,STEN Mk?,???,
2022-08-02 12:21:52,GUN,NORMAL,400/400/100/30,AR,63,Gr G3,??,
2022-08-02 12:21:52,GUN,NORMAL,400/400/100/30,SMG,32,Micro Uzi,???,
2022-08-03 01:55:06,EQUIP,HEAVY-1,500/500/500/500,FAIRY,16,Rescue Fairy,?,Charge
2022-08-03 01:55:06,EQUIP,HEAVY-1,500/500/500/500,FAIRY,25,Twin Fairies,?,Assault
2022-08-03 01:55:06,EQUIP,HEAVY-1,500/500/500/500,FAIRY,9,Airstrike Fairy,?,Damage II
2022-08-03 01:55:06,EQUIP,HEAVY-1,500/500/500/500,RMR,223,RMR T2 Red Dot Sight,????,
2022-08-03 10:44:25,GUN,NORMAL,400/400/100/30,SMG,17,M3,??,
2022-08-03 10:44:25,GUN,NORMAL,400/400/100/30,SMG,18,Ingram,???,
2022-08-03 10:44:58,EQUIP,SPECIAL_OFFER,240/1200/240/1040,BUCKSHOT,74,#0 Buckshot,???,
2022-08-03 10:44:58,EQUIP,SPECIAL_OFFER,240/1200/240/1040,SLUGSHELL,79,WAD Slug,????,
2022-08-03 10:44:58,EQUIP,SPECIAL_OFFER,240/1200/240/1040,BUCKSHOT,74,#0 Buckshot,???,
2022-08-03 10:44:58,EQUIP,SPECIAL_OFFER,240/1200/240/1040,SLUGSHELL,77,BK Slug,??,
2022-08-03 10:44:58,EQUIP,SPECIAL_OFFER,240/1200/240/1040,BUCKSHOT,73,#1 Buckshot,??,
2022-08-03 10:44:58,EQUIP,SPECIAL_OFFER,240/1200/240/1040,SLUGSHELL,77,BK Slug,??,
2022-08-03 10:44:58,EQUIP,SPECIAL_OFFER,240/1200/240/1040,SLUGSHELL,78,FST Slug,???,
2022-08-03 10:44:58,EQUIP,SPECIAL_OFFER,240/1200/240/1040,SLUGSHELL,77,BK Slug,??,
2022-08-03 11:27:16,EQUIP,HEAVY-1,500/500/500/500,HOLO,7,EOT 516,????,
2022-08-03 11:27:16,EQUIP,HEAVY-1,500/500/500/500,FAIRY,15,Command Fairy,?,Evasion II
2022-08-03 11:27:16,EQUIP,HEAVY-1,500/500/500/500,REDDOT,11,COG M150,????,
2022-08-03 11:27:16,EQUIP,HEAVY-1,500/500/500/500,XEXO,56,IOP X2 Exoskeleton,???,
2022-08-03 11:27:16,EQUIP,HEAVY-1,500/500/500/500,ARMORPLATE,42,Type 1 Armor Plate,???,
2022-08-03 11:27:16,EQUIP,HEAVY-1,500/500/500/500,NIGHTEQUIP,15,PEQ-15,????,
2022-08-03 11:27:16,EQUIP,HEAVY-1,500/500/500/500,HOLO,6,EOT 512,???,
2022-08-03 11:27:16,EQUIP,HEAVY-1,500/500/500/500,NIGHTEQUIP,14,PEQ-5,???,
2022-08-03 11:29:24,EQUIP,NORMAL,50/250/150/100,ARMORPLATE,42,Type 1 Armor Plate,???,
2022-08-03 11:29:30,EQUIP,NORMAL,50/250/150/100,HP,69,ILM Hollow-Point Ammo,??,
2022-08-03 11:29:34,EQUIP,NORMAL,50/250/150/100,HP,70,ILM Hollow-Point Ammo,???,
2022-08-03 11:29:38,EQUIP,NORMAL,50/250/150/100,SLUGSHELL,77,BK Slug,??,
2022-08-03 11:29:42,EQUIP,NORMAL,50/250/150/100,CLOAK,87,Ragged Cape,??,
2022-08-03 11:29:44,EQUIP,NORMAL,50/250/150/100,HP,70,ILM Hollow-Point Ammo,???,
2022-08-03 11:29:47,EQUIP,NORMAL,50/250/150/100,HV,30,JSP High-Velocity Ammo,???,
2022-08-03 11:30:10,EQUIP,NORMAL,50/250/150/100,TEXO,39,IOP T3 Exoskeleton,????,
